,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,timezone,visibility,weather,wind
0,stations,{'all': 90},200,"{'lon': -73.76, 'lat': -42.48}",1561859603.0,3896218.0,"{'temp': 35.6, 'pressure': 1020, 'humidity': 100, 'temp_min': 35.6, 'temp_max': 35.6}",,Castro,,"{'type': 1, 'id': 8512, 'message': 0.0062, 'country': 'CL', 'sunrise': 1561811137, 'sunset': 1561843863}",-14400.0,1000.0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]","{'speed': 3.36, 'deg': 200}"
1,,,404,,,,,city not found,,,,,,,
2,stations,{'all': 90},200,"{'lon': -68.31, 'lat': -54.81}",1561859603.0,3833367.0,"{'temp': 33.8, 'pressure': 1013, 'humidity': 86, 'temp_min': 33.8, 'temp_max': 33.8}",,Ushuaia,,"{'type': 1, 'id': 8303, 'message': 0.0063, 'country': 'AR', 'sunrise': 1561813125, 'sunset': 1561839260}",-10800.0,5000.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 17.22, 'deg': 230}"
3,stations,{'all': 0},200,"{'lon': -1.61, 'lat': 42.06}",1561859604.0,3107418.0,"{'temp': 75.92, 'pressure': 1016, 'humidity': 60, 'temp_min': 69.8, 'temp_max': 80.6}",,Tudela,,"{'type': 1, 'id': 6407, 'message': 0.0091, 'country': 'ES', 'sunrise': 1561869218, 'sunset': 1561923969}",7200.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 8.05, 'deg': 300}"
4,stations,{'all': 5},200,"{'lon': 10.65, 'lat': -3.44}",1561859604.0,2399001.0,"{'temp': 72.07, 'pressure': 1014.37, 'humidity': 86, 'temp_min': 72.07, 'temp_max': 72.07, 'sea_level': 1014.37, 'grnd_level': 1014.28}",,Mayumba,,"{'message': 0.0066, 'country': 'GA', 'sunrise': 1561872188, 'sunset': 1561915114}",3600.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 10.58, 'deg': 150.432}"
5,stations,{'all': 90},200,"{'lon': -73.48, 'lat': 45.36}",1561859604.0,6138908.0,"{'temp': 64.94, 'pressure': 1010, 'humidity': 93, 'temp_min': 63, 'temp_max': 66.2}",,Saint-Philippe,{'1h': 0.25},"{'type': 1, 'id': 820, 'message': 0.0094, 'country': 'CA', 'sunrise': 1561799304, 'sunset': 1561855562}",-14400.0,14484.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]","{'speed': 3.44, 'deg': 342.366}"
6,stations,{'all': 100},200,"{'lon': 20.04, 'lat': -34.53}",1561859604.0,1015776.0,"{'temp': 47.07, 'pressure': 1014, 'humidity': 87, 'temp_min': 44.6, 'temp_max': 48.99}",,Bredasdorp,,"{'type': 1, 'id': 1966, 'message': 0.0064, 'country': 'ZA', 'sunrise': 1561873637, 'sunset': 1561909156}",7200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 4.16, 'deg': 336.664}"
7,stations,{'all': 90},200,"{'lon': -45.24, 'lat': 60.14}",1561859604.0,3421765.0,"{'temp': 36.02, 'pressure': 1017.1, 'humidity': 91, 'temp_min': 36.02, 'temp_max': 36.02, 'sea_level': 1017.1, 'grnd_level': 1009.26}",,Nanortalik,,"{'message': 0.0071, 'country': 'GL', 'sunrise': 1561786761, 'sunset': 1561854548}",-7200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.63, 'deg': 291.479}"
8,stations,{'all': 26},200,"{'lon': -69.36, 'lat': 77.48}",1561859604.0,3831208.0,"{'temp': 46.87, 'pressure': 1020.5, 'humidity': 53, 'temp_min': 46.87, 'temp_max': 46.87, 'sea_level': 1020.5, 'grnd_level': 982.43}",,Qaanaaq,,"{'message': 0.009, 'country': 'GL', 'sunrise': 0, 'sunset': 0}",-10800.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 2.3, 'deg': 80.153}"
9,stations,{'all': 1},200,"{'lon': -97.43, 'lat': 35.88}",1561859605.0,4538142.0,"{'temp': 86.61, 'pressure': 1016, 'humidity': 1, 'temp_min': 82.99, 'temp_max': 89.6}",,Guthrie,,"{'type': 1, 'id': 4424, 'message': 0.0171, 'country': 'US', 'sunrise': 1561806958, 'sunset': 1561859405}",-18000.0,16093.0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]","{'speed': 8.05, 'deg': 120}"
